source,targets,category
"I wish you good luck and success, gentlemen!",آقایان! سعادت و موفقیت شما را خواستارم.,mizan
"We know best what they will say, when their leader most eminent in conduct will say: ""Ye tarried not longer than a day!""","ما به آنچه می‌گویند داناتریم، آن گاه که منصف ترینشان می‌گوید: جز یک روز درنگ نکرده‌اید،",quran
I don't know how much does he expressed to you,نمی‌دانم چقدر برایتان این حرف‌ها واضح است,mizan
"And touching the house of the king of Judah, say, Hear ye the word of the LORD;","و تو ومادر تو را که تو را زایید، به زمین غریبی که در آن تولد نیافتید خواهم‌انداخت که در آنجا خواهیدمرد.",bible
"'True, there were persons among mankind who took shelter with persons among the Jinns, but they increased them in folly.","و اینکه مردانی از آدمیان به مردانی از جن پناه می‌بردند، پس [مردان جن] بر طغیان و تباهی آنان افزودند،",quran
Verily the Companions of the Garden shall that Day have joy in all that they do;,همانا بهشتیان در چنین روزی در سرگرمی وصف ناپذیری شیرین کام و خوش اند.,quran
"And the LORD appeared unto him, and said, Go not down into Egypt; dwell in the land which I shall tell thee of:","وذریتت را مانند ستارگان آسمان کثیر گردانم، وتمام این زمینها را به ذریت تو بخشم، و از ذریت تو جمیع امتهای جهان برکت خواهند یافت.",bible
"And the mountains will be like wool,",و کوه‌ها مانند پشم رنگین حلاجی شده شود,quran
"""And proclaim the Pilgrimage among men: they will come to thee on foot and (mounted) on every kind of camel, lean on account of journeys through deep and distant mountain highways;","و در میان مردم برای حج بانگ زن تا پیاده و سوار بر هر شتر باریک اندام [چابک و چالاک] که از هر راه دور می‌آیند، به سوی تو آیند.",quran
"Understand, ye brutish among the people: and ye fools, when will ye be wise?","دل خود را سخت مسازید، مثل مریبا، مانند یوم مسا در صحرا.",bible
"And Shem and Japheth took a garment, and laid it upon both their shoulders, and went backward, and covered the nakedness of their father; and their faces were backward, and they saw not their father's nakedness.","و سام و یافث، ردا راگرفته، بر کتف خود انداختند، و پس رفته، برهنگی پدر خود را پوشانیدند. و روی ایشان بازپس بود که برهنگی پدر خود را ندیدند.",bible
"Then the men of Israel said unto Gideon, Rule thou over us, both thou, and thy son, and thy son's son also: for thou hast delivered us from the hand of Midian.","و جدعون را هفتاد پسر بود که از صلبش بیرون آمده بودند، زیرا زنان بسیار داشت.",bible
and as his wishes were in perfect harmony with the order he had received,و چون این مأموریت موافق میل او بود,mizan
The sun is very hot.,آفتاب گرم است.,mizan
"And all the firstborn in the land of Egypt shall die, from the firstborn of Pharaoh that sitteth upon his throne, even unto the firstborn of the maidservant that is behind the mill; and all the firstborn of beasts.","و این همه بندگان تو به نزد من فرود آمده، و مرا تعظیم کرده، خواهند گفت: تو و تمامی قوم که تابع تو باشند، بیرون روید! و بعد از آن بیرون خواهم رفت.»",bible
"We blessed him and Isaac: but of their progeny are (some) that do right, and (some) that obviously do wrong, to their own souls.","و بر او و بر اسحاق برکت دادیم، و از دودمان آن دو برخی نیکوکارند و برخی آشکارا ستمکار بر خویشند،",quran
And We have indeed made the Qur'an easy to understand and remember: then is there any that will receive admonition?,"و یقینا ما قرآن را برای پند گرفتن آسان کردیم، پس آیا پند گیرنده‌ای هست؟",quran
"(""Ah!"") they say, ""If it had been the will of (Allah) Most Gracious, we should not have worshipped such (deities)!"" Of that they have no knowledge! they do nothing but lie!","و گفتند: اگر خدا می‌خواست ما آنان را نمی‌پرستیدیم. ادعایشان متکی بر هیچ [دلیل] و دانشی نیست [و مایه‌ای جز جهل و نادانی ندارد]، فقط حدس می‌زنند و دروغ می‌بافند؛",quran
saw something on the ground between his horse's legs,"چشمش به جسمی افتاد که روی زمین، زیر پاهای اسب افتاده بود.",mizan
"""I will mislead them, and I will create in them false desires; I will order them to slit the ears of cattle, and to deface the (fair) nature created by Allah."" Whoever, forsaking Allah, takes satan for a friend, hath of a surety suffered a loss that is manifest.","و یقینا آنان را گمراه می‌کنم، و دچار آرزوهای دور و دراز [و واهی و پوچ] می‌سازم، و آنان را وادار می‌کنم که گوش‌های چهارپایان را [به نشانه حرام بودن بهره گیری از آنان] بشکافند، و فرمانشان می‌دهم که آفرینش خدایی را تغییر دهند [به این صورت که جنسیت مرد را به زن و زن را به مرد برگردانند، و فطرت پاکشان را به شرک بیالایند، و زیبایی‌های طبیعی، روحی، جسمی خود را به زشتی‌ها تبدیل کنند]. و هر کس شیطان را به جای خدا سرپرست ویار خود گیرد، مسلما به زیان آشکاری دچار شده است.",quran
I got a small wound gratuity,این به خاطر زخم خوش‌یمنی بود که برداشته بودم,mizan
"So We inspired him (with this message): ""Construct the Ark within Our sight and under Our guidance: then when comes Our Command, and the fountains of the earth gush forth, take thou on board pairs of every species, male and female, and thy family- except those of them against whom the Word has already gone forth: And address Me not in favour of the wrong-doers; for they shall be drowned (in the Flood).","پس به او وحی کردیم که زیر نظر ما و پیام ما کشتی بساز و هنگامی که فرمان ما به هلاکت آنان بیاید و آن تنور [از آب] فوران کند از هر گونه‌ای [از حیوان] دو عدد [یکی نر و دیگری ماده] و نیز خانواده‌ات را وارد کشتی کن، جز افرادی از آنان که فرمان [عذاب] بر او گذشته [و درباره او قطعی شده] است، و درباره کسانی که [به سبب شرک و کفر] ستم ورزیده‌اند، با من سخن مگوی، زیرا [همه] آنان بدون تردید غرق شدنی اند.",quran
"Ye did indeed wish for death before ye met him: Now ye have seen him with your own eyes, (And ye flinch!)","و یقینا شما [پس از آگاهی از درجات شهدای بدر] مرگ [در میدان جنگ] را پیش از رویارویی با آن سخت آرزو می‌کردید، و هنگامی که با آن روبرو شدید [به هراس افتادید و بدون هیچ اقدامی] به تماشای آن پرداختید!!",quran
"And in Moses (was another Sign): Behold, We sent him to Pharaoh, with authority manifest.","و [نیز] در [سرگذشت] موسی، چون او را با دلیلی روشن به سوی فرعون فرستادیم [عبرتی است.]",quran
"No problem, Jeff assured him.",جف گفت: اصلا مهم نیست.,mizan
"That is because they believed, then they rejected Faith: So a seal was set on their hearts: therefore they understand not.","این [صفت زشت نفاق و بدی اعمال] به سبب آن است که آنان [نخست] ایمان آوردند، سپس کافر شدند در نتیجه بر دل هایشان مهر [تیره بختی] زده شد، به این علت [حقایق را] نمی‌فهمند.",quran
The hooded creature had vanished.,موجود شنل پوش ناپدید شده بود.,mizan
"And say: ""I am indeed he that warneth openly and without ambiguity,""-",و [به اخلال گران در امر دین] بگو: بی تردید من بیم دهنده آشکارم.,quran
It was very quick of her to pick up on my slip.,خیلی سریع متوجه اشتباه من شده بود.,mizan
From henceforth let no man trouble me: for I bear in my body the marks of the Lord Jesus.,"که بحسب دولت جلال خود به شماعطا کند که در انسانیت باطنی خود از روح او به قوت زورآور شوید،",bible
"But the LORD was wroth with me for your sakes, and would not hear me: and the LORD said unto me, Let it suffice thee; speak no more unto me of this matter.","چشمان شما آنچه راخداوند در بعل فغور کرد دید، زیرا هرکه پیروی بعل فغور کرد، یهوه خدای تو، او را از میان توهلاک ساخت.",bible
"And the LORD hearkened to Hezekiah, and healed the people.",و حزقیا درباره توده‌ها از کاهنان ولاویان سوآل نمود.,bible
"Again, Woe to thee, (O men!), yea, woe!",باز هم شایسته‌تر است شایسته‌تر.,quran
"For Pharaoh will say of the children of Israel, They are entangled in the land, the wilderness hath shut them in.","پس ارابه خود را بیاراست، و قوم خود را با خودبرداشت،",bible
"Who say, when afflicted with calamity: ""To Allah We belong, and to Him is our return"":-",همان کسانی که چون بلا و آسیبی به آنان رسد گویند: ما مملوک خداییم و یقینا به سوی او بازمی گردیم.,quran
'Why is the buoy there in the little harbour place? ' I said.,بعد پرسیدم. چرا آن بویه را در آن نقطه نزدیک ساحل قرار داده‌اند؟,mizan
"A sura which We have sent down and which We have ordained in it have We sent down Clear Signs, in order that ye may receive admonition.","[این] سوره‌ای است که آن را [از افق دانش خود] فرود آوردیم و [اجرای احکام و معارف آن را] لازم و واجب نمودیم و در آن آیاتی روشن نازل کردیم، تا متذکر و هوشیار شوید.",quran
"Except for those that repent (Even) after that, and make amends; for verily Allah is Oft-Forgiving, Most Merciful.",مگر کسانی که بعد از آن توبه کردند و [مفاسد خود را] اصلاح نمودند؛ زیرا خدا بسیار آمرزنده و مهربان است.,quran
"Allah give thee grace! why didst thou grant them until those who told the truth were seen by thee in a clear light, and thou hadst proved the liars?","خدا تو را مورد بخشش و لطف قرار دهد، چرا پیش از آنکه [راستگویی] راستگویان بر تو روشن شود، و دروغگویان را بشناسی [از روی مهر و محبتی که به ایشان داری] به آنان اجازه [ترک جنگ] دادی؟",quran
"He delivereth me from mine enemies: yea, thou liftest me up above those that rise up against me: thou hast delivered me from the violent man.","به نجات تو خواهیم سرایید و به نام خدای خود، علم خود را خواهیم افراشت. خداوندتمامی مسالت تو را به انجام خواهد رسانید.",bible
a revolving bow tie,پاپیونش می‌چرخید.,mizan
"(Allah) said: ""Granted is thy prayer, O Moses!""",خدا فرمود: ای موسی! به یقین خواسته‌ات به تو عطا شد.,quran
"I am afraid of all my sorrows, I know that thou wilt not hold me innocent.","اما این چیزها را دردل خود پنهان کردی، و می‌دانم که اینها در فکرتو بود.",bible
The monster was rejoicing.,هیولا داشت شادی می‌کرد.,mizan
"And it shall come to pass, that in the place where it was said unto them, Ye are not my people; there shall they be called the children of the living God.",زیرا که در نعمتهاودعوت خدا بازگشتن نیست.,bible
"If aught that is good befalls you, it grieves them; but if some misfortune overtakes you, they rejoice at it. But if ye are constant and do right, not the least harm will their cunning do to you; for Allah Compasseth round about all that they do.","اگر به شما خیر و خوشی [و پیروزی و غنیمت] رسد، آنان را بدحال [و دلتنگ] می‌کند، و اگر بدی و ناخوشی [و حادثه تلخی] رسد به سبب آن خوشحال می‌شوند؛ و اگر شکیبایی ورزید و پرهیزکاری کنید، نیرنگشان هیچ زیانی به شما نمی‌رساند؛ مسلما خدا به آنچه انجام می‌دهند، احاطه دارد.",quran
"On the other hand, all those names with which, because of recent frequent references on the part of Clyde","از سوی دیگر، همه کسانی که ربرتا به دلیل اشارات مکرر کلاید،",mizan
"Thus saith the LORD of hosts; It shall yet come to pass, that there shall come people, and the inhabitants of many cities:",و عصای دیگر خود حبال راشکستم تا برادری را که در میان یهودا و اسرائیل بود شکسته باشم.,bible
Hurry!,عجله کن!,mizan
"""Is it (the case) that we shall not die,",[آن گاه به دوستان بهشتی خود می‌گوید:] آیا ما [برای همیشه در بهشتیم و] هرگز نمی‌میریم؟,quran
"No vanity shall they hear therein, nor Untruth:-",در آنجا نه سخن بیهوده‌ای می‌شنوند و نه دروغ و تکذیبی.,quran
"And when Uriah was come unto him, David demanded of him how Joab did, and how the people did, and how the war prospered.","و قاصد را امر فرموده، گفت: «چون از تمامی وقایع جنگ به پادشاه خبرداده باشی،",bible
"For we have heard how the LORD dried up the water of the Red sea for you, when ye came out of Egypt; and what ye did unto the two kings of the Amorites, that were on the other side Jordan, Sihon and Og, whom ye utterly destroyed.",آن مردان به وی گفتند: «ما از این قسم تو که به ما دادی مبراخواهیم شد.,bible
"said, he wondered how the secretary durst presume to give his opinion for preserving the life of a traitor;",گفت او در حیرتست که چگونه منشی کل جرأت می‌کند بگوید که به نظر او باید بر جان خائنی بخشید.,mizan
He loveth transgression that loveth strife: and he that exalteth his gate seeketh destruction.,"دل مرد فهیم معرفت را تحصیل می‌کند، وگوش حکیمان معرفت را می‌طلبد.",bible
A Grace and Favour from Allah; and Allah is full of Knowledge and Wisdom.,[این محبت و ناخوشایندی نسبت به حق و باطل] عطیه و نعمتی از سوی خداست؛ و خدا دانا و حکیم است.,quran
"He had accepted the censure without submitting to it, in silence:","او این توبیخ را، بی آن که در واقع از عقاید خویش برگشته باشد، به خاموشی پذیرفته و در صدد مبارزه بر نیامده بود؛",mizan
snorted Mrs. Merriwether.,خانم مری‌ودر غرشی کرد و گفت:,mizan
"Bella, he called dryly, his voice even, lazy.",او مرا صدا زد بلا صدایش آرام و سست بود.,mizan
Monte Cristo saw nothing but the shadow,اما کنت به غیر از این شخص‌ به جایی و چیزی نظر نداشت,mizan
"(With the result) that Allah has to punish the Hypocrites, men and women, and the Unbelievers, men and women, and Allah turns in Mercy to the Believers, men and women: for Allah is Oft-Forgiving, Most Merciful.","تا نهایتا خدا مردان و زنان منافق، و مردان و زنان مشرک را [به سبب خیانت در امانت] عذاب کند و توبه مردان و زنان مؤمن را [به علت لغزش در امانت] بپذیرد؛ و خدا همواره بسیار آمرزنده و مهربان است.",quran
"Then they proceeded: until, when they met a young man, he slew him. Moses said: ""Hast thou slain an innocent person who had slain none? Truly a foul (unheard of) thing hast thou done!""","پس [هر دو] به راه افتادند تا [زمانی که] به نوجوانی برخوردند؛ پس [بنده ما] او را کشت. موسی گفت: آیا شخص بی گناهی را بدون آنکه کسی را کشته باشد، کشتی؟ به راستی که کاری بسیار ناپسند مرتکب شدی!",quran
"And when Zebul the ruler of the city heard the words of Gaal the son of Ebed, his anger was kindled.","زبول وی را گفت: «الان زبان تو کجاست که گفتی ابیملک کیست که او را بندگی نماییم؟ آیا این آن قوم نیست که حقیرشمردی؟ پس حال بیرون رفته، با ایشان جنگ کن.»",bible
The demons of the heart appear.,دیوهای نهانخانهٔ قلب پدیدار می‌گردند.,mizan
"Thus shalt thou say unto him, The LORD saith thus; Behold, that which I have built will I break down, and that which I have planted I will pluck up, even this whole land.",و خداوند می‌گوید: ای بنده من یعقوب مترس زیرا که من با تو هستم و اگر‌چه تمام امت‌ها را که تو را در میان آنها پراکنده ساخته‌ام بالکل هلاک سازم لیکن تو را بالکل هلاک نخواهم ساخت. بلکه تو را به انصاف تادیب خواهم نمود و تو را هرگز بی‌سزا نخواهم گذاشت.»,bible
A leather belt of the same color encircled her neck.,نوار چرمینی نیز به همان رنگ به دور گردنش بسته بود.,mizan
And he will enter a Blazing Fire.,و در آتش افروخته در آید.,quran
"And We split the earth in fragments,",سپس زمین را [به صورتی سودمند] از هم شکافتیم.,quran
You mentioned the very spot.,در زیرزمین این اظهارات خود تو است.,mizan
Truly such will be Our Bounty (to you); it will never fail;-,این بی تردید عطای ماست که برای آن پایانی نیست.,quran
"So they went near, and carried them in their coats out of the camp; as Moses had said.",«توو پسرانت با تو چون به خیمه اجتماع داخل شوید شراب و مسکری منوشید مبادا بمیرید. این است فریضه ابدی در نسلهای شما.,bible
That's rather annoying.,بده شده بود.,mizan
"Those who had been despised will say to the arrogant ones: ""Nay! it was a plot (of yours) by day and by night: Behold! Ye (constantly) ordered us to be ungrateful to Allah and to attribute equals to Him!"" They will declare (their) repentance when they see the Penalty: We shall put yokes on the necks of the Unbelievers: It would only be a requital for their (ill) Deeds.","مستضعفان به مستکبران می‌گویند: بلکه نیرنگ‌های [پی گیر شما در] شب و روز که به ما فرمان می‌دادید به خدا کافر شویم و همتایانی برای او قرار دهیم [ما را گمراه کرد]. و هنگامی که عذاب را ببینند، اظهار پشیمانی کنند [شاید نجات یابند]. و ما در گردن کافران غل و زنجیر می‌نهیم؛ آیا جز آنچه را انجام می‌دادند جزا داده می‌شوند.",quran
"So obey Allah, and obey His Messenger: but if ye turn back, the duty of Our Messenger is but to proclaim (the Message) clearly and openly.","و از خدا اطاعت کنید و از پیامبر فرمان برید، و اگر روی برگردانید [بدانید که] بر عهده پیامبر فقط رساندن آشکار [پیام وحی] است.",quran
"Jesus answered and said unto them, Though I bear record of myself, yet my record is true: for I know whence I came, and whither I go; but ye cannot tell whence I come, and whither I go.",بدو گفتند: «پس چگونه چشمان تو بازگشت؟»,bible
"precisely what the curate, the concoctor of the scheme, expected would happen.","تنها بدین طریق بود که کشیش، مبتکر آن نقشه‌ی خدعه آمیز، فکر می‌کرد که به نتیجه خواهد رسید.",mizan
Those provinces of masculine knowledge seemed to her a standing ground from which all truth could be seen more truly.,آن رشته‌های علمی مردانه همچون جایگاه بلندی می‌نمود که می‌توانست از آنجا همه حقایق را با روشنی بیشتری ببیند.,mizan
"""O my son! establish regular prayer, enjoin what is just, and forbid what is wrong: and bear with patient constancy whatever betide thee; for this is firmness (of purpose) in (the conduct of) affairs.","پسرکم! نماز را برپا دار و مردم را به کار پسندیده وادار و از کار زشت بازدار و بر آنچه [از مشکلات و سختی‌ها] به تو می‌رسد شکیبایی کن، که اینها از اموری است که ملازمت بر آن از واجبات است.",quran
"If we exert ourselves, I think we shall not be long in want of allies.","ما اگر آستین بالا بزنیم، به نظر من طولی نمی‌کشد که عده‌ای همراهمان می‌شوند.",mizan
"Verily, We have warned you of a Penalty near, the Day when man will see (the deeds) which his hands have sent forth, and the Unbeliever will say, ""Woe unto me! Would that I were (metre) dust!""","ما شما را از عذابی نزدیک هشدار دادیم، روزی که آدم آنچه را [از خیر و شر] پیش فرستاده است بنگرد و کافر گوید: ای کاش من خاک بودم [و موجودی مکلف آفریده نمی‌شدم تا چنین روز سختی را ببینم!]",quran
No food will there be for them but a bitter Dhari',برای آنان طعامی جز خار خشک و زهرآگین وجود ندارد,quran
"Soon shall We cast terror into the hearts of the Unbelievers, for that they joined companions with Allah, for which He had sent no authority: their abode will be the Fire: And evil is the home of the wrong-doers!","به زودی در دل‌های کافران ترس می‌اندازیم؛ زیرا چیزی را که خدا بر [حقانیت] آن دلیلی نازل نکرده، شریک خدا قرار داده‌اند، و جایگاهشان آتش است؛ و بد است جایگاه ستمکاران.",quran
"Those who believe, then reject faith, then believe (again) and (again) reject faith, and go on increasing in unbelief,- Allah will not forgive them nor guide them nor guide them on the way.","کسانی که ایمان آوردند، سپس کفر ورزیدند، باز ایمان آوردند، و بار دیگر کافر شدند، آن گاه بر کفر خود افزودند، خدا بر آن نیست که آنان را بیامرزد، و به راهی هدایت کند.",quran
they acted as though any chair with Harry in it were empty.,به همین دلیل طوری رفتار می‌کردند که گویی هری اصلا وجود خارجی نداشت.,mizan
For the first instant Vronsky was not master either of himself or his mare.,"در نخستین دم، ورانسکی نه بر خود و نه بر مادیان مسلط بود",mizan
That sends down (from time to time) rain from the sky in due measure;- and We raise to life therewith a land that is dead; even so will ye be raised (from the dead);-,"و آنکه از آسمان آبی به اندازه نازل کرد، پس به وسیله آن سرزمینی مرده را زنده کردیم، [و] همین گونه [درقیامت از گورها] بیرون آورده می‌شوید؛",quran
Trust in the LORD with all thine heart; and lean not unto thine own understanding.,"بر همسایه ات قصد بدی مکن، هنگامی که او نزد تو در امنیت ساکن است.",bible
"Behold, their brother Salih said to them: ""Will you not fear (Allah)?",هنگامی که برادرشان صالح به آنان گفت: آیا [از سرانجام شرک و طغیان که خشم و عذاب خداست] نمی‌پرهیزید؟,quran
"So We seized him and his hosts, and We flung them into the sea: Now behold what was the end of those who did wrong!",پس او و سپاهیانش را گرفتیم و در دریا افکندیم؛ پس با تأمل بنگر که سرانجام ستمکاران چگونه بود؟,quran
"For ye are dead, and your life is hid with Christ in God.","و ما را منع می‌کنند که به امت‌ها سخن بگوییم تا نجات یابند و همیشه گناهان خود را لبریز می‌کنند، اما منتهای غضب ایشان را فروگرفته است.",bible
"But will abide (for ever) the Face of thy Lord,- full of Majesty, Bounty and Honour.",و تنها ذات باشکوه و ارجمند پروردگارت باقی می‌ماند.,quran
"Behold! ye were climbing up the high ground, without even casting a side glance at any one, and the Messenger in your rear was calling you back. There did Allah give you one distress after another by way of requital, to teach you not to grieve for (the booty) that had escaped you and for (the ill) that had befallen you. For Allah is well aware of all that ye do.","[یاد کنید] زمانی که [از میدان جنگ احد] تا مرز پنهان شدن از دیده‌ها دور می‌شدید و به هیچ کس توجه نمی‌کردید، در صورتی که پیامبر [که اجابت دعوتش واجب است] شما را از پشت سرتان فرا می‌خواند، پس خدا شما را به اندوهی روی اندوهی مجازات کرد تا بر آنچه [از پیروزی و غنیمت] از دستتان رفته و به آنچه [از آسیب و مصیبت] به شما رسیده، اندوهگین نشوید؛ و خدا به آنچه انجام می‌دهید، آگاه است.",quran
"We sent them Our Signs, but they persisted in turning away from them.","و ما آیات و نشانه‌های خود را به آنان نشان دادیم، ولی از آنان روی گردان شدند.",quran
"But it will be avoided by those most unfortunate ones,",و کسی که از همه بدبخت‌تر است از آن کناره می‌گیرد.,quran
"We sent Noah to his people (with a mission): ""I have come to you with a Clear Warning:",بی تردید نوح را به سوی قومش فرستادیم [که به آنان بگو:] من برای شما بیم دهنده‌ای آشکارم.,quran
"And it came to pass, when he had been there a long time, that Abimelech king of the Philistines looked out at a window, and saw, and, behold, Isaac was sporting with Rebekah his wife.","ابی ملک گفت: «این چه‌کاراست که با ما کردی؟ نزدیک بود که یکی از قوم، بازوجه ات همخواب شود، و بر ما جرمی آورده باشی.»",bible
"For Abraham was, without doubt, forbearing (of faults), compassionate, and given to look to Allah.",به راستی که ابراهیم بسیار بردبار و دلسوز و روی آورنده [به سوی خدا] بود.,quran
"For unto us was the gospel preached, as well as unto them: but the word preached did not profit them, not being mixed with faith in them that heard it.","لکن وی چون تا به ابد باقی است، کهانت بی‌زوال دارد.",bible
"""Obey those who ask no reward of you (for themselves), and who have themselves received Guidance.","از کسانی پیروی کنید که پاداشی از شما نمی‌خواهند و آنان راه یافته‌اند،",quran
The very want of such equality might prevent his perception of it; but he must know that in fortune and consequence she was greatly his superior.,"اصلا چون بی‌استعداد است نمی‌فهمد بی‌استعداد است، ولی از لحاظ پول‌وپله و مقام اجتماعی که باید بفهمد، اما از سرش هم زیاد است.",mizan
"And last of all he was seen of me also, as of one born out of due time.","زیرا که دروازه بزرگ و کارساز برای من باز شد و معاندین، بسیارند.",bible
"But it would avert the punishment from the wife, if she bears witness four times (with an oath) By Allah, that (her husband) is telling a lie;","و مجازات را از آن زنی که مورد اتهام قرار گرفته دفع می‌کند اینکه چهار بار شهادت دهد که سوگند به خدا، آن مرد دروغگوست،",quran
Over the wide expanse there was no sound and no movement.,"در آن گسترة بی کران، هیچ صدا یا جنبشی نبود.",mizan
"Only then, expressing known historic facts by equations and comparing the relative significance of this factor, can we hope to define the unknown.","فقط در این موقع است که با بیان حقایق معلو تاریخی‌ به صورت معادلات می‌توانیم بوسیله مقایسه مقادیر نسبی عامل مجهول، به شناسایی خود آن عامل‌ امیدوار باشیم.",mizan
Wherefore let him that thinketh he standeth take heed lest he fall.,و نعمتها انواع است ولی روح همان.,bible
But can it last?,ورانسکی ادامه داد: ولی آیا دوام خواهد داشت؟,mizan
"but if they were, they would both be taken into custody.","اما اگر چنین می‌بو، هردوی آن‌ها به زندان می‌افتادند.",mizan
"the very hour and the date are sacred, Maximilian.",این روز و ساعت مقدس است,mizan
"Again and again will those who disbelieve, wish that they had bowed (to Allah's will) in Islam.",کافران [هنگام روبرو شدن با عذاب] چه بسا آرزو می‌کنند که کاش تسلیم [فرمان‌های خدا] بودند.,quran
"they were always saving up to buy a saloon pistol, which in those days cost five shillings","آن‌ها همیشه با آرزوی خرید یک تفنگ بادی که پنج شیلینگ ارزش داشت پس‌انداز می‌کردند،",mizan
"He will not suffer me to take my breath, but filleth me with bitterness.","آیا برای تو نیکو است که ظلم نمایی وعمل دست خود را حقیر شماری، و بر مشورت شریران بتابی؟",bible
"When I got half way, first one hound and then another got up and went for me, and of course I stopped and faced them, and kept still.","وقتی به نصفه‌ راه رسیدم اول یک سگ و بعد هم یکی دیگر بلند شد و به طرف آمد، و البته من هم روبروی آن‌ها ایستادم و تکان نخوردم.",mizan
And the air of supercilious elegance which had clung about him in his striking Zouave uniform was completely gone.,آن ظرافت و برازندگی چشمگیری که اسکار لت در یونیفرم زوآوه دیده بود دیگر کام لا پنهان و مستور می‌نمود.,mizan
"Violent (and cruel),- with all that, base-born,-","گذشته از این‌ها کینه توز و بی اصل و نسب است،",quran
"'We used, indeed, to sit there in (hidden) stations, to (steal) a hearing; but any who listen now will find a flaming fire watching him in ambush.","و اینکه ما در آسمان برای شنیدن [خبرهای ملکوتی و سخنان فرشتگان] در نشست گاه هایی می‌نشستیم، ولی اکنون هر که بخواهد استراق سمع کند، شهابی را در کمین خود می‌یابد!",quran
What was I saying,چی می‌گفتم,mizan
"Nevertheless, whereto we have already attained, let us walk by the same rule, let us mind the same thing.","باخبر باشید که کسی شما را نرباید به فلسفه و مکر باطل، برحسب تقلید مردم وبرحسب اصول دنیوی نه برحسب مسیح،",bible
"For if the ministration of condemnation be glory, much more doth the ministration of righteousness exceed in glory.",در ما تنگ نیستید لیکن در احشای خود تنگ هستید.,bible
Better than nearer!,واقعا خیلی نزدیک بود!,mizan
Did you drink much?,آیا زیاد نوشیده‌اید؟,mizan
"Now therefore write ye this song for you, and teach it the children of Israel: put it in their mouths, that this song may be a witness for me against the children of Israel.","موسی به لاویانی که تابوت عهد خداوند رابرمی داشتند وصیت کرده، گفت:",bible
"How much more abominable and filthy is man, which drinketh iniquity like water?",پس ایوب در جواب گفت:,bible
"I say then, Have they stumbled that they should fall? God forbid: but rather through their fall salvation is come unto the Gentiles, for to provoke them to jealousy.",و خصوص چون وقت را می‌دانید که الحال ساعت رسیده است که ما را باید از خواب بیدارشویم زیرا که الان نجات ما نزدیک تر است از آن وقتی که ایمان آوردیم.,bible
"Let those who find not the wherewithal for marriage keep themselves chaste, until Allah gives them means out of His grace. And if any of your slaves ask for a deed in writing (to enable them to earn their freedom for a certain sum), give them such a deed if ye know any good in them: yea, give them something yourselves out of the means which Allah has given to you. But force not your maids to prostitution when they desire chastity, in order that ye may make a gain in the goods of this life. But if anyone compels them, yet, after such compulsion, is Allah, Oft-Forgiving, Most Merciful (to them),","و کسانی که [وسیله] ازدواجی نمی‌یابند باید پاکدامنی پیشه کنند تا خدا آنان را از فضل خود توانگرشان سازد. و کسانی از بردگانتان که درخواست نوشتن قرارداد [برای فعالیت اقتصادی و پرداخت مبلغی به مالک خود برای آزاد شدن] دارند، اگر در آنان [برای عقد این قرارداد] شایستگی سراغ دارید با آنان قرارداد ببندید، و چیزی از مال خدا را که به شما عطا کرده است به آنان بدهید، و کنیزان خود را که می‌خواهند پاکدامن باشند، برای به دست آوردن متاع ناچیز و زودگذر زندگی دنیا به زنا وادار مکنید، و هر که آنان را وادار [به زنا] کند، به یقین خدا پس از مجبور شدنشان [نسبت به آنان] بسیار آمرزنده و مهربان است.",quran
Boys are often chastised by their teachers and parents for not listening.,"پسرها اغلب به خاطر گوش ‌نکردن‌، از طرف والدین و یا معلمان مورد سرزنش قرار می‌گیرند",mizan
"He hath bent his bow like an enemy: he stood with his right hand as an adversary, and slew all that were pleasant to the eye in the tabernacle of the daughter of Zion: he poured out his fury like fire.","کمان خود را زه کرده، مرا برای تیرهای خویش، هدف ساخته است.",bible
"'Beds for four, and stabling for five ponies, if that can be managed.","تخت خواب برای چهار نفر و اصطبل برای پنج اسب چه، اگر بتوان فراهم کرد.",mizan
"Saying, Sir, we remember that that deceiver said, while he was yet alive, After three days I will rise again.",و اسم او فور در تمامی مرز و بوم جلیل شهرت یافت.,bible
Neither with you only do I make this covenant and this oath;,"خداوند او را نخواهد آمرزید، بلکه در آن وقت خشم و غیرت خداوند بر آن شخص دودافشان خواهد شد، و تمامی لعنتی که در این کتاب مکتوب است، بر آن کس نازل خواهد شد، و خداوند نام او را از زیر آسمان محو خواهدساخت.",bible
"And the measuring line shall yet go forth over against it upon the hill Gareb, and shall compass about to Goath.",بنابراین خداوند چنین می‌گوید: اینک من این شهر را به‌دست کلدانیان و به‌دست نبوکدرصر پادشاه بابل تسلیم می‌کنم و او آن را خواهد گرفت.,bible
He may have anything...,همه چیز می‌شد داد …,mizan
By her voice Grigory guessed that she felt embarrassed,"از لحن صدای او‌گری گوری پی برد که ناراحت است،",mizan
but begged him to come and dine tomorrow,تقاضا می‌کنم فردا شب به اینجا بیا و شام را با ما بخور,mizan
During the meal she was quiet and cool:,در طول مدت صرف صبحانه بی اعتنا و ساکت بود.,mizan
