id,channel_name,is_signal,signal_type,sentiment_type,found_namads_string,views,forwards,published_at
265,https://t.me/grouprezabourse,0,,,,0,0,4/17/2022 07:57
777,https://t.me/asiasarmayeh,0,,positive,"بورس، ما",64,0,11/9/2021 06:14
1545,vipmosbat5,0,,,,801,0,6/18/2022 05:12
10,https://t.me/snipersahamyab,0,,,,162,0,4/16/2022 04:43
522,https://t.me/Codal360_ir,0,,,,4541,0,6/28/2022 09:34
1290,topsignalexchange,1,buy,,,1616,0,6/21/2022 15:20
1546,vipmosbat5,1,,,,808,0,6/18/2022 05:07
523,https://t.me/Codal360_ir,0,,neutral,دارو,4542,0,6/28/2022 09:34
1291,topsignalexchange,0,,,فمراد,1619,0,6/21/2022 15:20
1292,topsignalexchange,0,,,ثفارس,1660,0,6/21/2022 15:16
1549,vipmosbat5,0,,,,741,0,6/23/2022 06:32
526,https://t.me/Codal360_ir,0,,neutral,"خزر، سخزر",4846,0,6/28/2022 09:28
1038,sahamyab,0,,,بورس,200,0,6/18/2022 19:50
1550,vipmosbat5,0,,,خودرو,648,0,6/23/2022 06:12
15,https://t.me/snipersahamyab,1,buy,neutral,"خاور، ختور، غنوش، ما",158,0,4/15/2022 19:05
783,https://t.me/asiasarmayeh,0,,neutral,پرداخت,66,0,11/9/2021 06:08
1551,vipmosbat5,0,,,,659,0,6/23/2022 06:07
16,https://t.me/snipersahamyab,0,,neutral,غنوش,143,0,4/15/2022 19:01
784,https://t.me/asiasarmayeh,0,,,,76,0,11/9/2021 05:32
1040,sahamyab,1,buy,,ونوین,190,0,6/18/2022 19:21
1042,sahamyab,1,buy,,ونوین,177,0,6/18/2022 19:19
1298,topsignalexchange,1,,,,3213,0,6/15/2022 04:28
19,https://t.me/snipersahamyab,1,buy,positive,ختور,163,0,4/15/2022 07:32
531,https://t.me/Codal360_ir,1,sell,negative,زرنام,5757,0,6/28/2022 09:08
787,https://t.me/asiasarmayeh,0,,positive,فارس,94,0,11/8/2021 17:46
1043,sahamyab,0,,,,174,0,6/18/2022 19:05
1299,topsignalexchange,1,buy,,غدشت,2953,0,6/15/2022 04:26
1555,vipmosbat5,1,buy,,,943,0,6/22/2022 06:24
20,https://t.me/snipersahamyab,0,,neutral,بورس,252,0,4/13/2022 16:13
276,https://t.me/grouprezabourse,0,,neutral,ختور,0,0,4/17/2022 07:55
788,https://t.me/asiasarmayeh,0,,negative,خودرو,81,0,11/8/2021 17:45
1044,sahamyab,1,buy,,وساپا,203,0,6/15/2022 08:07
1556,vipmosbat5,1,buy,,امید,925,0,6/22/2022 06:23
789,https://t.me/asiasarmayeh,0,,,,70,0,11/8/2021 17:44
1045,sahamyab,0,,,بورس,210,0,6/12/2022 08:47
278,https://t.me/grouprezabourse,1,buy,neutral,همراه,832,0,4/17/2022 07:30
534,https://t.me/Codal360_ir,1,buy,positive,پارس,5759,0,6/28/2022 08:54
1046,sahamyab,0,,,,174,0,6/18/2022 19:01
1558,vipmosbat5,0,,,,1120,0,6/19/2022 04:10
279,https://t.me/grouprezabourse,1,buy,neutral,خودرو,0,0,4/17/2022 07:30
791,https://t.me/asiasarmayeh,0,,neutral,"بورس، ما",58,0,11/8/2021 17:44
1047,sahamyab,1,buy,,شوینده,174,0,6/18/2022 18:29
1303,topsignalexchange,1,buy,,خزامیا,2230,0,6/14/2022 06:01
1559,vipmosbat5,0,,,خودرو,751,0,6/23/2022 06:15
24,https://t.me/snipersahamyab,1,buy,positive,"غنوش، مدار",282,0,4/12/2022 15:28
280,https://t.me/grouprezabourse,0,,neutral,ختور,0,0,4/17/2022 07:25
1049,sahamyab,1,buy,,خودرو,184,0,6/18/2022 09:45
1305,topsignalexchange,0,,,,2171,0,6/14/2022 05:13
1561,vipmosbat5,0,,,امید,666,0,6/23/2022 06:07
1050,sahamyab,0,,,,184,0,6/18/2022 08:28
1306,topsignalexchange,1,,,خودرو,2173,0,6/14/2022 05:12
1562,vipmosbat5,1,sell,,ملت,943,0,6/22/2022 06:51
27,https://t.me/snipersahamyab,1,buy,positive,غنوش,321,0,4/11/2022 04:50
283,https://t.me/grouprezabourse,1,buy,positive,خودرو,0,0,4/17/2022 07:16
1051,sahamyab,0,,,غنوش,187,0,6/18/2022 07:29
1563,vipmosbat5,0,,,,949,0,6/22/2022 06:47
284,https://t.me/grouprezabourse,0,,neutral,فپنتا,0,0,4/17/2022 07:15
796,https://t.me/asiasarmayeh,0,,,,55,0,11/8/2021 17:35
1052,sahamyab,1,buy,,غنوش,167,0,6/18/2022 07:19
1308,topsignalexchange,0,,,سنیر,2237,0,6/14/2022 04:43
29,https://t.me/snipersahamyab,1,buy,positive,غنوش,272,0,4/10/2022 19:01
1053,sahamyab,1,,,شفا,159,0,6/18/2022 07:09
1309,topsignalexchange,1,buy,,سنیر,2239,0,6/14/2022 04:38
1565,vipmosbat5,0,,,,1075,0,6/19/2022 04:08
30,https://t.me/snipersahamyab,1,buy,positive,ختور,257,0,4/10/2022 18:58
286,https://t.me/grouprezabourse,0,,neutral,ورنا,0,0,4/17/2022 07:15
1054,sahamyab,0,,,غنوش,153,0,6/18/2022 07:07
1566,vipmosbat5,0,,,مداران,899,0,6/21/2022 05:54
1055,sahamyab,0,,,,155,0,6/18/2022 06:59
1567,vipmosbat5,0,,,جم ,920,0,6/21/2022 04:41
1568,vipmosbat5,1,,,مداران,1045,0,6/21/2022 04:34
33,https://t.me/snipersahamyab,0,,neutral,"خساپا، خگستر، خودرو، شپنا، شستا، وبصادر، وبملت، وتجارت",266,0,4/10/2022 10:00
801,https://t.me/NoavaranAmin,1,buy,positive,فارس,72,0,6/28/2022 12:18
1313,topsignalexchange,0,,,,2381,0,6/12/2022 08:00
1569,vipmosbat5,1,,,مداران,1041,0,6/21/2022 04:19
34,https://t.me/snipersahamyab,1,buy,positive,غنوش,278,0,4/10/2022 07:32
546,https://t.me/Codal360_ir,1,buy,positive,بورس,6355,0,6/28/2022 08:19
1314,topsignalexchange,1,buy,,,2345,0,6/12/2022 07:06
1570,vipmosbat5,0,,,,1024,0,6/21/2022 04:17
35,https://t.me/snipersahamyab,1,buy,positive,غنوش,308,0,4/9/2022 19:07
803,https://t.me/NoavaranAmin,1,buy,positive,دارو,110,0,6/28/2022 12:08
1315,topsignalexchange,1,sell,,,2294,0,6/12/2022 06:59
1571,vipmosbat5,1,,,,1182,0,6/20/2022 07:34
36,https://t.me/snipersahamyab,0,,neutral,ختور,292,0,4/9/2022 18:57
292,https://t.me/grouprezabourse,0,,positive,بالبر,0,0,4/17/2022 06:54
1316,topsignalexchange,1,buy,,سنیر,2301,0,6/12/2022 06:22
1572,vipmosbat5,1,buy,,,1154,0,6/20/2022 07:20
37,https://t.me/snipersahamyab,1,buy,positive,ما,269,0,4/9/2022 18:53
1317,topsignalexchange,1,sell,,خودرو,2234,0,6/12/2022 06:17
1318,topsignalexchange,1,,,,2253,0,6/12/2022 05:51
1575,vipmosbat5,1,buy,,,1127,0,6/20/2022 04:58
1320,topsignalexchange,0,,,,2197,0,6/12/2022 05:15
1576,vipmosbat5,1,,,جم ,1129,0,6/20/2022 04:56
41,https://t.me/snipersahamyab,0,,neutral,"ختور، غنوش",339,0,4/9/2022 08:59
297,https://t.me/grouprezabourse,0,,neutral,ختور,0,0,4/17/2022 06:48
553,https://t.me/Codal360_ir,0,,neutral,بورس,5745,0,6/28/2022 08:08
1065,sahamyab,1,buy,,غنوش,188,0,6/15/2022 08:05
1577,vipmosbat5,0,,,,1096,0,6/20/2022 04:55
42,https://t.me/snipersahamyab,1,buy,positive,خاور,360,0,4/9/2022 07:13
554,https://t.me/Codal360_ir,1,buy,positive,دجابر,6052,0,6/28/2022 08:04
1066,sahamyab,0,,,,182,0,6/15/2022 07:29
1578,vipmosbat5,1,buy,,,1052,0,6/20/2022 04:53
555,https://t.me/Codal360_ir,1,buy,positive,فولاد,5748,0,6/28/2022 08:03
1067,sahamyab,0,,,,179,0,6/15/2022 05:43
1579,vipmosbat5,0,,,,1188,0,6/19/2022 07:38
44,https://t.me/snipersahamyab,1,buy,,,403,0,4/9/2022 07:05
556,https://t.me/Codal360_ir,0,,,,5147,0,6/28/2022 08:01
1068,sahamyab,1,buy,,خاور,180,0,6/15/2022 05:04
1324,topsignalexchange,1,sell,,,2186,0,6/12/2022 04:57
1580,vipmosbat5,1,buy,,,1163,0,6/19/2022 07:34
813,https://t.me/NoavaranAmin,1,buy,positive,دفارا,188,0,6/28/2022 11:23
1069,sahamyab,1,buy,,خاور,180,0,6/15/2022 05:02
1581,vipmosbat5,1,buy,,,986,0,6/19/2022 07:32
814,https://t.me/NoavaranAmin,1,buy,positive,خزر,207,0,6/28/2022 11:18
1070,sahamyab,0,,,خودرو,190,0,6/15/2022 04:15
1326,topsignalexchange,0,,,وآذر,2337,0,6/11/2022 05:57
1582,vipmosbat5,0,,,,917,0,6/19/2022 06:29
47,https://t.me/snipersahamyab,1,buy,positive,غنوش,405,0,4/9/2022 06:29
815,https://t.me/NoavaranAmin,1,buy,positive,غگل,241,0,6/28/2022 11:08
1583,vipmosbat5,0,,,,944,0,6/19/2022 06:20
1328,topsignalexchange,1,sell,,سنیر,2350,0,6/11/2022 05:07
1584,vipmosbat5,0,,,,945,0,6/19/2022 06:16
1073,sahamyab,0,,,فولاد,187,0,6/14/2022 15:38
1329,topsignalexchange,1,buy,,,2340,0,6/11/2022 05:07
1585,vipmosbat5,0,,,,1041,0,6/19/2022 04:28
1074,sahamyab,0,,,خودرو,192,0,6/14/2022 15:38
1330,topsignalexchange,1,,,نمرینو,2315,0,6/11/2022 04:54
1586,vipmosbat5,1,sell,,,1090,0,6/19/2022 04:18
51,https://t.me/snipersahamyab,0,,positive,ختور,1252,0,4/6/2022 19:44
1331,topsignalexchange,1,,,غشهد,2318,0,6/11/2022 04:52
1587,vipmosbat5,0,,,امید,1119,0,6/19/2022 04:16
1076,sahamyab,0,,,,214,0,6/14/2022 08:19
1332,topsignalexchange,1,buy,,خنصیر,2365,0,6/11/2022 03:56
1588,vipmosbat5,0,,,مداران,985,0,6/19/2022 06:56
53,https://t.me/snipersahamyab,1,buy,positive,ما,1227,0,4/6/2022 19:15
309,https://t.me/signalle_bartare_bours,0,,positive,"بورس، ما",3591,0,4/12/2022 06:15
1077,sahamyab,1,buy,,وساپا,239,0,6/13/2022 10:17
1333,topsignalexchange,0,,,,2395,0,6/9/2022 17:40
1589,vipmosbat5,1,buy,,,982,0,6/19/2022 06:05
566,https://t.me/Codal360_ir,0,,,,6979,0,6/28/2022 07:23
1078,sahamyab,1,buy,,غنوش,221,0,6/13/2022 10:15
823,https://t.me/NoavaranAmin,1,buy,positive,رتاپ,211,0,6/28/2022 10:41
1591,vipmosbat5,1,,,,1101,0,6/18/2022 06:13
1080,sahamyab,0,,,,212,0,6/13/2022 08:45
1592,vipmosbat5,0,,,,984,0,6/18/2022 06:13
825,https://t.me/NoavaranAmin,1,buy,positive,خزر,226,0,6/28/2022 10:38
1081,sahamyab,1,,,,213,0,6/13/2022 07:31
1593,vipmosbat5,1,,,مدار ,919,0,6/18/2022 06:03
826,https://t.me/NoavaranAmin,1,buy,positive,دروز,261,0,6/28/2022 10:23
1338,topsignalexchange,0,,,,2329,0,6/8/2022 04:54
1083,sahamyab,1,,,,205,0,6/12/2022 19:11
1595,vipmosbat5,1,buy,,,806,0,6/18/2022 05:06
1084,sahamyab,0,,,افق,212,0,6/12/2022 19:18
1596,vipmosbat5,1,,,جم ,788,0,6/18/2022 05:04
61,https://t.me/snipersahamyab,1,buy,positive,ختور,541,0,4/5/2022 18:42
1085,sahamyab,0,,,,206,0,6/12/2022 08:45
1597,vipmosbat5,0,,,,782,0,6/18/2022 04:58
62,https://t.me/snipersahamyab,1,buy,positive,غنوش,395,0,4/5/2022 18:40
1598,vipmosbat5,1,buy,,جم ,795,0,6/18/2022 04:54
831,https://t.me/NoavaranAmin,1,buy,positive,"پرداخت، ملت",239,0,6/28/2022 10:11
1087,sahamyab,1,buy,,حفارس,185,0,6/12/2022 08:19
1343,topsignalexchange,1,buy,,وپترو,2325,0,6/7/2022 06:03
1599,vipmosbat5,1,,,,1069,0,6/18/2022 04:47
1088,sahamyab,1,buy,,وساپا,177,0,6/12/2022 08:15
1344,topsignalexchange,1,sell,,خساپا,2282,0,6/7/2022 06:03
1600,vipmosbat5,1,buy,,,1073,0,6/18/2022 04:43
577,https://t.me/Codal360_ir,0,,neutral,غمهرا,6364,0,6/28/2022 06:48
1089,sahamyab,1,,,غنوش,186,0,6/12/2022 08:12
1345,topsignalexchange,0,,,,2273,0,6/7/2022 06:02
834,https://t.me/NoavaranAmin,1,buy,positive,بورس,258,0,6/28/2022 10:03
1090,sahamyab,0,,,,183,0,6/12/2022 08:11
1602,vipmosbat5,0,,,کالا,1306,0,6/16/2022 12:57
1091,sahamyab,0,,,بورس,194,0,6/12/2022 05:17
1603,vipmosbat5,0,,,سیستم,1205,0,6/16/2022 12:57
836,https://t.me/NoavaranAmin,1,buy,positive,شمواد,305,0,6/28/2022 09:48
1604,vipmosbat5,0,,,افق,1124,0,6/16/2022 10:11
1093,sahamyab,0,,,,203,0,6/12/2022 04:54
70,https://t.me/snipersahamyab,1,buy,positive,غنوش,172,0,4/5/2022 05:37
1094,sahamyab,0,,,,199,0,6/12/2022 04:47
1606,vipmosbat5,0,,,بورس,929,0,6/16/2022 10:04
71,https://t.me/snipersahamyab,1,buy,positive,غنوش,161,0,4/5/2022 05:19
1095,sahamyab,0,,,افق,209,0,6/11/2022 20:14
1607,vipmosbat5,0,,,,865,0,6/16/2022 10:04
840,https://t.me/NoavaranAmin,0,,neutral,زرنام,383,0,6/28/2022 09:08
1096,sahamyab,1,buy,,خودرو,186,0,6/11/2022 20:11
1608,vipmosbat5,0,,,,824,0,6/16/2022 10:04
585,https://t.me/Codal360_ir,1,buy,positive,"فارس، وسفارس",6666,0,6/28/2022 06:19
1097,sahamyab,0,,,,190,0,6/11/2022 20:05
1609,vipmosbat5,1,buy,,,1014,0,6/15/2022 07:07
586,https://t.me/Codal360_ir,0,,neutral,فارس,6659,0,6/28/2022 06:18
1098,sahamyab,0,,,,182,0,6/11/2022 20:00
1610,vipmosbat5,0,,,,789,0,6/16/2022 09:45
587,https://t.me/Codal360_ir,1,sell,negative,خودرو,6969,0,6/28/2022 06:13
843,https://t.me/NoavaranAmin,1,sell,negative,بورس,429,0,6/28/2022 08:18
1611,vipmosbat5,0,,,,726,0,6/16/2022 09:44
76,https://t.me/snipersahamyab,0,,neutral,"حفارس، خاور، غنوش",150,0,4/4/2022 19:36
588,https://t.me/Codal360_ir,1,buy,positive,ورنا,6974,0,6/28/2022 06:09
77,https://t.me/snipersahamyab,0,,neutral,خاور,139,0,4/4/2022 19:29
846,https://t.me/NoavaranAmin,1,buy,positive,دجابر,372,0,6/28/2022 08:04
1102,sahamyab,0,,,,276,0,5/31/2022 06:43
1103,sahamyab,1,buy,,,261,0,5/31/2022 06:32
1615,vipmosbat5,0,,,,1009,0,6/15/2022 06:23
1104,sahamyab,1,buy,,,256,0,5/31/2022 06:29
1616,vipmosbat5,1,buy,,,970,0,6/15/2022 06:18
81,https://t.me/snipersahamyab,0,,positive,غنوش,110,0,4/4/2022 15:35
1105,sahamyab,0,,,,252,0,5/31/2022 06:18
1617,vipmosbat5,0,,,,979,0,6/15/2022 05:40
82,https://t.me/snipersahamyab,0,,neutral,حفارس,97,0,4/4/2022 15:32
1618,vipmosbat5,1,buy,,,984,0,6/15/2022 04:33
83,https://t.me/snipersahamyab,0,,neutral,غنوش,90,0,4/4/2022 15:20
1107,sahamyab,0,,,,267,0,5/31/2022 05:48
1363,topsignalexchange,1,buy,,خنصیر,2392,0,5/31/2022 06:07
84,https://t.me/snipersahamyab,0,,positive,بورس,88,0,4/4/2022 15:17
1108,sahamyab,1,buy,,غنوش,191,0,6/11/2022 18:02
85,https://t.me/snipersahamyab,1,buy,positive,"خپارس، خودرو، وبصادر، وتجارت",84,0,4/4/2022 14:58
597,https://t.me/Codal360_ir,1,sell,negative,"تملت، ملت",6664,0,6/28/2022 05:44
1109,sahamyab,0,,,,197,0,6/11/2022 13:51
1621,vipmosbat5,0,,,,1015,0,6/15/2022 15:04
1110,sahamyab,0,,,,196,0,6/11/2022 13:33
1622,vipmosbat5,0,,,,896,0,6/15/2022 14:59
1367,topsignalexchange,1,buy,,پیزد,2370,0,6/6/2022 04:45
1623,vipmosbat5,0,,,,796,0,6/15/2022 14:56
600,https://t.me/Codal360_ir,0,,neutral,سفارود,7588,0,6/28/2022 05:34
856,https://t.me/NoavaranAmin,1,buy,positive,فسازان,429,0,6/28/2022 06:53
1112,sahamyab,0,,,,175,0,6/11/2022 13:19
1368,topsignalexchange,1,sell,,,2381,0,6/6/2022 04:44
1624,vipmosbat5,0,,,سپ,772,0,6/15/2022 14:50
1113,sahamyab,0,,,,177,0,6/11/2022 12:49
1369,topsignalexchange,1,,,آپ,2382,0,6/6/2022 04:37
1625,vipmosbat5,0,,,خراسان,898,0,6/15/2022 14:47
1114,sahamyab,0,,,,168,0,6/11/2022 12:37
1626,vipmosbat5,0,,,,952,0,6/15/2022 14:40
1115,sahamyab,0,,,ملت,175,0,6/11/2022 12:33
1371,topsignalexchange,0,,,,2519,0,6/5/2022 15:15
1627,vipmosbat5,0,,,,1072,0,6/15/2022 07:20
1116,sahamyab,0,,,,177,0,6/11/2022 12:14
1628,vipmosbat5,1,buy,,,941,0,6/15/2022 04:27
1629,vipmosbat5,0,,,,901,0,6/15/2022 04:27
1118,sahamyab,0,,,,183,0,6/11/2022 11:27
1119,sahamyab,0,,,,195,0,6/11/2022 09:50
1120,sahamyab,0,,,,197,0,6/11/2022 09:34
1632,vipmosbat5,0,,,,957,0,6/15/2022 03:42
1121,sahamyab,0,,,غنوش,220,0,6/11/2022 08:17
1377,topsignalexchange,0,,,,2607,0,6/1/2022 06:35
1122,sahamyab,1,buy,,حفارس,221,0,6/11/2022 07:31
1123,sahamyab,0,,,,237,0,6/11/2022 06:17
1635,vipmosbat5,0,,,بورس,776,0,6/14/2022 13:39
356,https://t.me/signalle_bartare_bours,0,,negative,لپارس,3520,0,4/9/2022 05:15
1124,sahamyab,1,buy,,,223,0,6/11/2022 06:16
357,https://t.me/signalle_bartare_bours,0,,positive,لپارس,3475,0,4/9/2022 05:12
1381,topsignalexchange,0,,,پیزد,2356,0,5/31/2022 05:50
1637,vipmosbat5,0,,,ملت,706,0,6/14/2022 13:38
1382,topsignalexchange,0,,,,2314,0,5/31/2022 05:45
1127,sahamyab,0,,,,245,0,6/9/2022 16:08
616,https://t.me/asiasarmayeh,0,,neutral,وبصادر,471,0,5/16/2022 06:11
1128,sahamyab,1,buy,,وساپا,251,0,6/8/2022 18:38
1640,vipmosbat5,0,,,جم ,1023,0,6/14/2022 05:21
1129,sahamyab,1,buy,,خاور,226,0,6/8/2022 18:37
1385,topsignalexchange,1,,,خنصیر,2233,0,5/31/2022 05:13
1641,vipmosbat5,1,buy,,,1135,0,6/14/2022 05:18
1130,sahamyab,0,,,غنوش,210,0,6/8/2022 18:36
1642,vipmosbat5,0,,,,1173,0,6/14/2022 05:01
1643,vipmosbat5,1,buy,,,1148,0,6/14/2022 04:48
1132,sahamyab,1,,,,208,0,6/8/2022 18:21
1134,sahamyab,1,,,وساپا,223,0,6/8/2022 08:12
1390,topsignalexchange,0,,,فروس,2101,0,5/31/2022 04:54
1135,sahamyab,1,buy,,خاور,211,0,6/8/2022 08:12
1647,vipmosbat5,0,,,افق,909,0,6/14/2022 13:20
1136,sahamyab,1,buy,,غنوش,194,0,6/8/2022 08:11
1392,topsignalexchange,1,,,,2324,0,5/31/2022 04:51
1648,vipmosbat5,0,,,,1025,0,6/14/2022 06:42
1137,sahamyab,0,,,شفا,203,0,6/8/2022 05:16
1393,topsignalexchange,1,,,,2351,0,5/31/2022 04:50
626,https://t.me/asiasarmayeh,0,,negative,بورس,365,0,5/5/2022 19:37
1138,sahamyab,1,buy,,کاما,197,0,6/8/2022 05:08
1650,vipmosbat5,0,,,,1138,0,6/14/2022 04:47
1139,sahamyab,0,,,,196,0,6/8/2022 05:05
1395,topsignalexchange,0,,,وامید,2906,0,5/30/2022 04:49
1651,vipmosbat5,1,buy,,,1308,0,6/13/2022 05:42
1140,sahamyab,0,,,امید,199,0,6/8/2022 04:46
1652,vipmosbat5,1,buy,,,1200,0,6/13/2022 05:35
1141,sahamyab,0,,,بورس,199,0,6/8/2022 04:27
1653,vipmosbat5,0,,,,1205,0,6/13/2022 05:28
886,https://t.me/NoavaranAmin,0,,neutral,"پارس، شپنا، فولاد",518,0,6/28/2022 02:08
1654,vipmosbat5,1,buy,,,1153,0,6/13/2022 05:20
1143,sahamyab,0,,,,82,0,6/8/2022 04:23
1399,topsignalexchange,0,,,,2807,0,5/29/2022 07:57
1655,vipmosbat5,0,,,,966,0,6/8/2022 07:35
1144,sahamyab,1,buy,,,195,0,6/7/2022 20:38
1400,topsignalexchange,0,,,,2742,0,5/29/2022 07:01
633,https://t.me/asiasarmayeh,0,,neutral,وبصادر,444,0,4/20/2022 06:21
1657,vipmosbat5,1,sell,,,838,0,6/7/2022 07:52
890,https://t.me/NoavaranAmin,1,sell,negative,خصدرا,648,0,6/27/2022 19:04
1147,sahamyab,1,buy,,پاسا,186,0,6/7/2022 18:58
1403,topsignalexchange,0,,,,2700,0,5/29/2022 06:03
1659,vipmosbat5,1,,,جم ,1148,0,6/13/2022 05:16
1148,sahamyab,1,buy,,خاور,188,0,6/7/2022 18:55
1404,topsignalexchange,1,buy,,پلاست,2634,0,5/29/2022 06:00
1660,vipmosbat5,1,sell,,,1149,0,6/13/2022 05:04
1149,sahamyab,0,,,افق,200,0,6/7/2022 17:10
1661,vipmosbat5,1,buy,,,1104,0,6/13/2022 04:58
1150,sahamyab,0,,,امین,203,0,6/7/2022 12:57
1406,topsignalexchange,1,,,پیزد,2538,0,5/29/2022 05:48
1662,vipmosbat5,0,,,,1111,0,6/13/2022 04:30
895,https://t.me/NoavaranAmin,1,buy,positive,"خراسان، فخاس، فولاد",595,0,6/27/2022 16:14
1151,sahamyab,0,,,بورس,211,0,6/7/2022 10:48
1663,vipmosbat5,0,,,,1100,0,6/13/2022 04:27
1152,sahamyab,0,,,,210,0,6/7/2022 10:47
1664,vipmosbat5,0,,,خودرو,1241,0,6/12/2022 10:27
897,https://t.me/NoavaranAmin,0,,negative,آبادا,607,0,6/27/2022 15:18
1665,vipmosbat5,0,,,دیران,1149,0,6/12/2022 10:24
1666,vipmosbat5,0,,,بورس,891,0,6/12/2022 10:20
1155,sahamyab,1,buy,,غنوش,198,0,6/7/2022 08:14
1411,topsignalexchange,0,,,خودرو,2683,0,5/28/2022 20:30
1667,vipmosbat5,0,,,امید,866,0,6/12/2022 10:05
1156,sahamyab,0,,,,200,0,6/7/2022 03:55
1412,topsignalexchange,1,buy,,,2744,0,5/28/2022 06:04
1157,sahamyab,1,buy,,غنوش,194,0,6/7/2022 08:08
1669,vipmosbat5,0,,,خودرو,648,0,6/12/2022 09:55
902,https://t.me/NoavaranAmin,0,,neutral,افق,576,0,6/27/2022 14:13
1671,vipmosbat5,0,,,,604,0,6/12/2022 09:08
1160,sahamyab,0,,,بورس,216,0,6/6/2022 18:02
1672,vipmosbat5,0,,,,887,0,6/12/2022 08:43
1161,sahamyab,0,,,افق,224,0,6/6/2022 16:26
138,https://t.me/ChanelVIP20,1,buy,positive,ورنا,17955,0,4/16/2022 05:22
1674,vipmosbat5,0,,,بورس,772,0,6/11/2022 19:34
1164,sahamyab,0,,,,254,0,6/5/2022 16:07
1676,vipmosbat5,0,,,شفا,594,0,6/12/2022 09:51
1422,topsignalexchange,1,,,شگل,2416,0,5/25/2022 07:24
1423,topsignalexchange,1,buy,,همراه ,2408,0,5/25/2022 07:20
1424,topsignalexchange,0,,,,2391,0,5/25/2022 07:01
1680,vipmosbat5,0,,,,555,0,6/12/2022 09:39
1681,vipmosbat5,0,,,,575,0,6/12/2022 09:38
402,https://t.me/Codal360_ir,1,buy,positive,فارس,1220,0,6/28/2022 12:18
1170,sahamyab,1,buy,,شستا,236,0,6/4/2022 16:18
1682,vipmosbat5,0,,,افق,603,0,6/12/2022 09:34
1171,sahamyab,1,buy,,وساپا,220,0,6/1/2022 19:33
1427,topsignalexchange,1,,,پسهند,2386,0,5/25/2022 06:03
1683,vipmosbat5,0,,,,600,0,6/12/2022 09:34
404,https://t.me/Codal360_ir,1,sell,negative,سفارود,1514,0,6/28/2022 12:13
916,https://t.me/NoavaranAmin,1,sell,negative,فولاد,462,0,6/27/2022 12:13
1172,sahamyab,1,,,غنوش,211,0,6/1/2022 18:58
